strain	Size_Factor	umap_1	umap_2	louvain_component	Cluster	strain.sys
314	POM152	0.99568850430346	14.0437247089299	14.5594229245493	1	1	YMR129W
315	FAP1	0.996982302949435	14.0836246926524	14.3257206844407	1	4	YNL023C
316	RAD4	0.997289257395376	14.2121122803017	14.7229873344154	1	7	YER162C
317	LTV1	1.00445104967847	13.9674371480541	13.9660216900371	1	15	YKL143W
318	CUE1	0.991731086937336	14.0050472971531	14.5365808614239	1	3	YMR264W
319	DAT1	1.0094110892769	14.2198883114738	14.441433627478	1	1	YML113W
320	CIN2	0.993912758490027	14.0093815258102	14.7087466191349	1	2	YPL241C
321	UBP14	0.995401630989497	14.1482273439837	14.3789541062866	1	4	YBR058C
322	YDR131C	1.00314721046651	14.1743694636885	14.5773051029716	1	2	YDR131C
323	FAR1	0.999396341886437	0.00220029284282601	14.3396368830045	1	26	YJL157C
324	STB4	0.995121929508383	13.889776649839	14.5780281497152	1	5	YMR019W
325	ARP6	0.991494416453316	13.9189695431711	14.1194493275256	1	24	YLR085C
326	HST2	0.989434666059059	14.2895224457672	14.6166427843766	1	12	YPL015C
327	VPS13	0.993676088006007	14.4291246223625	14.2860070617552	1	10	YLL040C
328	RPN13	0.9913811014943	14.0574512367504	14.2151787026348	1	6	YLR421C
329	RXT2	1.00260215116998	14.759917121641	14.4225695005256	1	29	YBR095C
330	MPP6	0.993565641780131	14.008805621375	14.5563892889956	1	3	YNR024W
331	DUN1	0.997069799310194	14.0506811494801	14.2676740806297	1	6	YDL101C
332	RIM101	0.99921130859893	14.5409578240798	14.3021906160886	1	36	YHL027W
333	DCS2	0.992048081949265	14.3592919263683	14.4245586754687	1	1	YOR173W
334	SPO12	0.997528796612535	14.239395328217	14.5925666144616	1	1	YHR152W
335	XBP1	0.995940952819748	14.0509401081521	14.643703482076	1	2	YIL101C
336	RLM1	0.99795910658348	14.2575877088756	14.5810687356524	1	23	YPL089C
337	GSP2	0.993230000002794	13.8731610753865	14.5473348423388	1	5	YOR185C
338	HTB2	0.994743256733951	14.2587021490917	14.6672398802416	1	21	YBL002W
